web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,lat,lon
1733470796-1,MERCEDES-BENZ CAMPER,CHF 15'900.–,265'000 km,Diesel,"MITTELSTRASSE 38, 3613 STEFFISBURG",15900,265000,1,0 - 19999,46.767906188964844,7.615882396697998
1733470799-2,CARADO I 449 ÉDITION 15 FIAT CAPRON 169L/1449,CHF 71'900.–,14'000 km,Diesel,"ZONE INDUSTRIELLE LES PORTETTES 2C, 1312 ECLÉPENS",71900,14000,1,50000 - 99999,46.655277252197266,6.553426742553711
1733470801-3,DETHLEFFS FIAT DUCATO,CHF 37'800.–,90'000 km,Diesel,"RTE DU ST-BERNARD 8, 1937 ORSIÈRES",37800,90000,1,20000 - 49999,46.03584671020508,7.146042823791504
1733470805-4,FIAT EURO MASTER WOHNMOBIL,CHF 19'900.–,187'236 km,Diesel,"BADENERSTRASSE 84, 8952 SCHLIEREN",19900,187236,1,0 - 19999,47.39728546142578,8.434126853942871
1733470807-5,VW T6.1 CALIFORNIA 2.0 TDI OCEAN EDITION LIBERTY 4MOTION,CHF 84'500.–,16'500 km,Diesel,8852 ALTENDORF,84500,16500,1,50000 - 99999,47.16980743408203,8.801252365112305
1733470809-6,"VW T6.1 KNAUS TOURER VAN 500 MW, MEGA AUSSTATTUNG, EUROPREISVORTEIL !!! 635KG ZULADUNG",CHF 69'900.–,11'000 km,Diesel,8852 ALTENDORF,69900,11000,1,50000 - 99999,47.16980743408203,8.801252365112305
1733470812-7,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY,CHF 56'500.–,45'000 km,Diesel,"GÜTERSTRASSE 37, 9444 DIEPOLDSAU",56500,45000,1,50000 - 99999,47.39250183105469,9.650969505310059
1733470815-8,HYMER BMC 580-I,CHF 115'800.–,12'200 km,Diesel,"BÜELHALDE 4, 8317 TAGELSWANGEN",115800,12200,1,100000 - 199999,47.42753982543945,8.673209190368652
1733470818-9,VW T6 CALIFORNIA 2.0 TDI BULLI BEACH EDITION 4MOTION,CHF 51'900.–,83'000 km,Diesel,"BIRMENSDORFERSTRASSE 18, 8902 URDORF",51900,83000,1,50000 - 99999,47.39269256591797,8.41797161102295
1733470820-10,MERCEDES-BENZ MARCO POLO 250 D 7G-TRONIC,CHF 49'900.–,113'000 km,Diesel,"NEUMATT 10, 4626 NIEDERBUCHSITEN",49900,113000,1,20000 - 49999,47.2994270324707,7.768882751464844
1733470825-12,FORD NUGGET,CHF 49'900.–,23'500 km,Diesel,"HARDSTRASSE 78, 4657 DULLIKEN",49900,23500,1,20000 - 49999,47.349239349365234,7.9577460289001465
1733470830-13,FIAT ***  PILOTE AVENTURA T670 - FIAT DUCATO 2.3 131PS ***,CHF 28'900.–,140'000 km,Diesel,"KRIESBACHSTRASSE 7, 8304 WALLISELLEN",28900,140000,1,20000 - 49999,47.409698486328125,8.61287784576416
1733470834-15,FIAT TRIGANO GRANDUCA 64,CHF 15'999.–,105'000 km,Diesel,2556 SCHWADERNAU,15999,105000,1,0 - 19999,47.11965560913086,7.325146675109863
1733470839-17,VW T4,CHF 6'800.–,241'912 km,Benzin,"SCHACHENSTRASSE 8, 5014 GRETZENBACH",6800,241912,0,0 - 19999,47.359962463378906,7.9829511642456055
1733470842-18,FIAT *** FAMILIEN WOHNMOBIL - MCLOUIS ALKOVEN - KAJÜTENBETTEN - KLIMA - TEMPOMAT  ***,CHF 28'700.–,86'000 km,Diesel,"KRIESBACHSTRASSE 7, 8304 WALLISELLEN",28700,86000,1,20000 - 49999,47.409698486328125,8.61287784576416
1733470849-21,FIAT DUCATO,CHF 11'800.–,215'456 km,Diesel,"SCHACHENSTRASSE 8, 5014 GRETZENBACH",11800,215456,1,0 - 19999,47.359962463378906,7.9829511642456055
